x,y,z,id
63.09336,14.545762,28.277585,130
33.66936,33.839762,39.248585,131
-17.17364,2.544762,37.890585,132
85.61136,2.493762,24.280585,133
-31.99464,36.033762,36.606585,134
6.34036,-48.600238,40.379585,135
-3.76264,-63.847238,31.208585,136
38.52236,-15.730238,37.543585,137
-29.25564,2.477762,40.851585,138
-4.03764,15.731762,39.385585,139
10.33436,-43.234238,38.616585,140
31.95736,-7.191238,35.168585,141
-18.45264,-46.291238,35.600585,142
-29.18164,-8.732238,35.822585,143
26.49636,57.440762,35.675585,144
32.42336,6.210762,36.870585,145
32.89136,-48.628238,32.656585,146
-52.11264,-60.028238,24.049585,147
-4.16564,50.281762,36.385585,148
-80.01564,18.497762,28.972585,149
-73.63064,-21.612238,24.644585,150
-27.76864,-53.332238,30.124585,151
-25.09264,7.979762,41.458585,152
31.46136,28.944762,38.324585,153
-12.98564,47.889762,39.234585,154
-75.12064,1.767762,28.955585,155
42.13436,13.985762,37.547585,156
-4.26064,21.170762,37.362585,157
11.80836,4.746762,35.948585,158
61.31236,34.837762,22.652585,159
12.13836,76.253762,35.109585,160
15.99436,29.872762,34.444585,161
36.33136,5.616762,39.760585,162
-69.93064,3.501762,28.675585,163
43.58436,-70.019238,27.522585,164
35.41636,28.474762,37.951585,165
-37.08664,15.522762,35.107585,166
19.95036,28.800762,33.585585,167
5.45236,15.658762,38.940585,168
-17.92664,-5.151238,40.616585,169
-57.39764,-43.897238,21.008585,170
1.07936,19.726762,39.572585,171
-0.90464,-38.051238,38.991585,172
-40.78464,-22.129238,36.663585,173
72.63636,-24.599238,21.209585,174
-19.33164,42.491762,32.814585,175
-59.42864,-7.503238,29.416585,176
-40.93064,-30.540238,40.681585,177
38.75436,45.224762,34.124585,178
35.34136,-70.548238,27.540585,179
-32.68264,-50.110238,29.852585,180
-7.04564,-48.161238,36.000585,181
6.13036,60.870762,31.868585,182
-52.24564,25.232762,34.143585,183
12.52936,22.023762,39.084585,184
-46.82464,6.479762,35.940585,185
