x,y,z,id,height
625246.36,6103437.08,835.12,248,25.0399829102
625374.77,6103387.73,841.59,249,23.6499975586
625346.84,6103339.31,840.86,250,22.9599755859
625427.59,6103303.17,849.01,251,27.059987793
625374.91,6103396.2,841.26,252,23.6500146484
625192.29,6103380.39,833.54,253,25.1599951172
625512.26,6103261.6,845.88,254,27.0499829102
625472.26,6103194,843.49,255,29.4599707031
625387.33,6103403.6,841.06,256,23.3499780273
625516.52,6103227.46,838.98,257,24.7500195313
625210.29,6103329.66,834.51,258,25.5400292969
625259.43,6103166.87,842.56,259,24.4699731445
625298.45,6103302.67,838.99,260,24.8800146484
625582.69,6103325.45,839.89,261,25.9100195313
625424.38,6103334.34,845.96,262,24.5599755859
625518.57,6103292.27,843.83,263,22.6799755859
625216.16,6103266.74,830.67,264,24.9400195313
625227.61,6103190.05,837.92,265,22.8800219727
625342.87,6103214.64,841.9,266,24.1199707031
625355.26,6103206.91,846.63,267,28.1600292969
625345.73,6103482.27,838.66,268,24.2799951172
625166.42,6103254.04,828.1,269,23.800012207
625119.06,6103273.75,827.36,270,28.36
625272.79,6103224.71,840.2,271,26.1400024414
625300.22,6103241.32,839.55,272,25.2199829102
625526.63,6103308.72,846.09,273,25.1600073242
625199.89,6103281.69,830.35,274,26.6
625422.08,6103374.7,846.5,275,26.799987793
625232.44,6103274.11,834.74,276,28.3800146484
625179.52,6103404.45,833.6,277,26.5099731445
625258.44,6103417.42,837.33,278,26.7499829102
625493.87,6103188.41,836.81,279,28.4400048828
625416.34,6103274.83,848.22,280,26.6200244141
625227.1,6103310.82,835.88,281,26.429987793
625461.61,6103165.46,838.9,282,28.7699951172
625398.54,6103086.3,840.97,283,25.6999804688
625357.34,6103381.5,839.27,284,21.9299731445
625341.65,6103356.19,845.31,285,27.5900292969
625379.5,6103219.8,845.82,286,26.4500048828
625338.19,6103208.01,843.68,287,26.0399853516
625525.43,6103248.65,844.66,288,27.4400292969
625371.93,6103323.18,845.19,289,25.9299902344
625170.7,6103322.5,829.87,290,28.1099902344
625108.59,6103292.37,821.24,291,24.74
625352.47,6103401.97,840.52,292,24.3699755859
625383.24,6103267.56,847.22,293,27.2400195313
625501.36,6103162.16,838.45,294,29.8400146484
625442.42,6103096.93,840.04,295,28.6300268555
625191.73,6103202.03,835.49,296,24.4799902344
625243.71,6103470.27,833.44,297,24.989987793
625161.2,6103340.58,829.91,298,25.2599755859
625296.21,6103186.63,843.26,299,26.460012207
625385.5,6103215.07,845.95,300,26.2800170898
625299.82,6103140.95,847.07,301,26.6799853516
625495.96,6103215.1,839.76,302,29.8500268555
625298.45,6103151.33,847.21,303,27.4800195313
625425.24,6103388.23,845.7,304,26.8099853516
625417.19,6103421.9,841.14,305,23.7599951172
625484.06,6103268.58,846.22,306,27.3500048828
625574.88,6103292.53,840.64,307,24.1999975586
625389.1,6103244.75,847.98,308,28.180012207
625418.72,6103378,845.02,309,25.470012207
625276.09,6103296.12,839.13,310,26.8499707031
625298.67,6103358.11,841.32,311,26.3500292969
625184.88,6103405.03,829.12,312,21.820012207
625232.35,6103309.06,836.95,313,27.5400268555
625194.7,6103208.12,834.34,314,23.5699804688
625545.72,6103296.92,845.18,315,26.2999951172
625545.22,6103281.27,845.41,316,27.3500024414
625191.58,6103411.56,832.43,317,25.3100048828
625379.82,6103333.31,844.98,318,25.23
625278.04,6103485.62,838.06,319,27.3800073242
625105.93,6103261.1,825.41,320,22.0899926758
625424.84,6103352.72,845.86,321,25.2199853516
625432.29,6103406.45,844.58,322,26.6999951172
625466.86,6103225.85,846.17,323,29.2600268555
625333.34,6103384.01,842.51,324,26.6699731445
625299.63,6103343.44,838.87,325,23.4099780273
625609.37,6103304.07,838.31,326,26.2799707031
625306,6103255.63,840.55,327,25.8599975586
625552.87,6103291.73,844.8,328,26.6599853516
625481.39,6103233.72,844.19,329,29.9099707031
625518.51,6103204.52,840.42,330,30.5299853516
625438.67,6103342.71,845.19,331,24.0999731445
625400.77,6103423.64,841.95,332,24.5699951172
625223.87,6103324.7,835.64,333,25.2900244141
625395.38,6103214.31,843.36,334,23.1499780273
625168.85,6103281.36,831.22,335,29.3799731445
625182.73,6103345.57,830.7,336,23.249987793
625301.47,6103303.71,844.27,337,29.8799853516
625305.45,6103143.76,845.73,338,25.7500195313
625184.61,6103320.29,830.89,339,26.8300024414
625499.65,6103234.66,841.58,340,28.6700268555
625343.83,6103462.43,840.67,341,26.0000170898
625390.75,6103450.19,841.91,342,25.6200219727
625408.53,6103353.91,846.58,343,26.1899853516
625360.9,6103403.07,839.76,344,23.3300073242
625232.05,6103335.49,835.6,345,24.3700195313
625571.67,6103240.15,838.15,346,25.9599975586
625300.99,6103415.89,839.04,347,26.1399755859
