x,y,z,id,height
459786.843749759,7185126.00000008,55.7999992288,38,20.729999534
459552.218749742,7185324.00000013,54.1800002478,39,22.3500003241
460098.250000503,7185212.49999999,49.2700003999,40,21.1499995607
459450.499999409,7185279.49999985,61.3800009758,41,26.4300002129
459796.031250617,7185581.99999975,51.1899985524,43,28.6799983236
459866.999999764,7185435.50000027,50.790000835,44,27.6600016742
459625.968750294,7185280.49999969,57.8300018479,46,25.6700020005
459966.374999398,7185373.99999989,49.2700003999,47,25.4200000184
460502.875000198,7185221.49999996,48.38000115,48,21.3700009211
460573.468750555,7185223.00000007,49.2799988607,49,23.0099984029
460122.562500008,7185274.49999994,48.38000115,50,22.5000019892
460426.093749472,7185147.00000024,48.5299988708,52,18.6899987182
460138.343749714,7185391.50000026,48.9000015984,53,26.7100010644
459578.062500448,7185095.99999994,63.8199997731,54,25.5900002309
459689.687499533,7185656.50000016,49.4799994862,55,26.8199996388
459514.937500353,7185677.00000006,43.5400009321,56,20.5300007032
460409.968749392,7185136.50000016,50.720001205,57,20.4400005183
459922.093750142,7185259.9999998,52.409999816,58,23.5799998923
459858.187500238,7185381.00000018,49.2900008551,59,24.4600009314
459684.500000595,7185308.99999971,53.1100006312,60,23.1100006312
459796.187500325,7185239.00000033,52.5900001827,61,21.309999496
459845.750000122,7185210.99999988,54.2200011581,62,22.2200011581
460066.312499759,7185151.49999988,51.2700003731,63,21.3400000679
459836.374999869,7185439.9999999,49.7900008484,64,26.320001535
459536.90625043,7185673.50000027,45.6599999065,65,22.5699997539
460318.624999475,7185169.00000025,52.7500000942,66,22.7199994075
459457.218749548,7185424.00000035,43.1399994848,67,14.9599991796
459427.343749775,7185496.00000011,50.889999381,68,25.2600002202
459636.281250064,7185113.50000031,63.189998588,69,25.9499969095
459542.406250053,7185279.00000028,61.1500014343,70,27.3300017395
460012.281250189,7185144.99999986,50.4900016635,71,20.1600017398
459751.093750302,7185113.99999989,61.8100013391,72,26.180000271
459532.750000072,7185411.49999988,50.9700012016,73,22.1300010491
459767.125000048,7185452.0000001,49.5200003966,74,24.7200011595
460629.156250077,7185206.99999981,45.7799987113,75,20.2699984824
459527.781250217,7185509.49999972,45.9999999883,76,20.1100005986
459590.125000503,7185259.9999998,58.5800018378,77,24.8400001594
459453.687500563,7185364.99999992,52.1500015549,78,21.140001326
459843.718750109,7185152.00000015,56.9300002109,79,23.279998685
459986.2187504,7185469.0000002,39.430000249,80,18.3400000965
459812.406249467,7185477.00000033,50.2400016669,81,27.0500011328
459552.218749742,7185100.50000028,63.8699989479,82,25.669998185
459638.124999411,7185182.00000028,57.630001026,83,22.0100020942
459981.874999377,7185152.49999972,53.5299988038,84,22.8499984986
460548.750000031,7185206.50000024,50.4700012083,85,23.0700015898
459869.625000191,7185523.50000029,46.8600005186,86,25.0600012815
460197.062499411,7185281.9999998,47.8499985108,87,21.9199982056
459919.937500109,7185206.99999981,54.9799996088,88,24.4399986933
459630.124999381,7185179.50000033,58.9799995553,89,23.1899986397
459911.312499978,7185372.00000021,50.0099983955,90,25.5899983192
459755.874999491,7185539.49999985,48.6300011466,91,25.290000994
460363.750000456,7185235.00000027,49.0299988641,92,21.5699997796
459722.312499753,7185396.99999973,50.4799994728,93,23.5699996254
459987.093750542,7185123.50000013,52.7500000942,94,21.5499993312
459768.687499667,7185603.99999976,50.9300002913,95,28.2100009779
459597.781250159,7185365.99999976,54.5099983352,96,24.7299976486
460351.343750028,7185224.99999976,51.4500007398,97,23.5400008924
460005.093749656,7185395.00000005,47.5600013337,98,24.8000011048
459580.031249816,7185565.00000035,50.5099983888,99,25.6499977784
459450.87499947,7185572.99999978,52.7500000942,100,28.3600007045
459989.531250303,7185373.50000032,50.1300011265,101,26.5400009739
460048.156249667,7185386.00000008,50.2999993025,102,27.4200001417
459544.2499994,7185110.50000009,63.3800011453,103,25.1300011453
459914.624999881,7185386.49999965,51.9799994527,104,27.9099997579
460131.749999595,7185338.00000001,50.4399985625,105,26.8499984099
