x,y,z,id,height
571188.954733887,6054771.56545361,555.8849833984,148,42.2974589844
571189.851483887,6054824.62870361,550.0642333984,149,33.7342163086
571116.738483887,6054763.32845361,555.2824833984,150,35.9950078125
571391.418983887,6054604.00295361,562.4542333984,151,42.1387426758
571116.366233887,6054738.06170361,555.6764833984,152,34.078277832
571220.029483887,6054687.62470361,559.8369833984,153,42.0144736328
571165.465483887,6054770.20995361,552.6322333984,154,41.0825202637
571054.702483887,6054895.33920361,544.8489833984,155,38.5397792969
571250.808983887,6054762.38070361,555.3679833984,156,39.2987695313
571255.308233887,6054677.65895361,556.6512333984,157,40.6135136719
570958.667983887,6054836.50270361,552.5037333984,158,35.6190288086
571084.560483887,6054845.47570361,558.2024833984,159,46.4364921875
571042.467983887,6054886.61495361,547.4389833984,160,39.248980957
571133.977983887,6054720.86145361,557.0362333984,161,36.288003418
571385.654983887,6054593.60170361,562.1452333984,162,41.2482607422
571046.272483887,6054794.70845361,552.0319833984,163,35.6853037109
571219.614983887,6054673.99520361,553.9932333984,164,34.6012045898
571493.287483887,6054598.86045361,563.3619833984,165,40.5250083008
571470.810483887,6054547.12895361,565.3452333984,166,40.8832583008
571028.334233887,6054915.44595361,545.4014833984,167,36.4799746094
571165.190483887,6054835.23070361,554.2364833984,168,42.2294643555
571290.878983887,6054703.38295361,557.3104833984,169,40.7998022461
571177.956233887,6054836.15595361,553.4787333984,170,37.8332255859
571374.403983887,6054665.31770361,556.1492333984,171,39.2017236328
571453.573983887,6054596.40270361,565.4092333984,172,44.3887255859
571104.990733887,6054857.13945361,553.3167333984,173,42.2370214844
571530.485233887,6054562.62495361,563.4644833984,174,39.0708066406
571086.892233887,6054896.88945361,547.7362333984,175,41.03371875
571153.607733887,6054859.34545361,557.2032333984,176,43.9405380859
571334.922483887,6054681.22845361,559.2704833984,177,42.0482543945
571060.681983887,6054853.49770361,553.9334833984,178,40.9177973633
571037.455733887,6054791.13870361,523.3984833984,179,7.0319672852
571362.683233887,6054616.34645361,561.0659833984,180,41.6607709961
571180.624733887,6054737.55245361,552.2079833984,181,40.8979858398
571156.150483887,6054729.81420361,555.6217333984,182,42.2300097656
